CustomerNumber,CustomerName,StreetName,City,State,ZIP,Country,,,,,,,,,
1000638,ALESSIO BAKING,2025 SE 11TH AVE,PORTLAND,OR,97214-5315,USA,,,,,,,,,
1000639,MI MI'S BAKERY,4809 BEACON AVE S,SEATTLE,WA,98108-1502,USA,,,,,,,,,
1000640,SEATTLE GOURMET FOOD,19016 72ND AVE S,KENT,WA,98032-1005,USA,,,,,,,,,
1000641,LA PATISSERIE,3098 NORTHWEST AVE,BELLINGHAM,WA,98225-1607,USA,,,,,,,,,
1000644,LA UNICA BAKERY,307 S PARK ST,ABERDEEN,WA,98520-5900,USA,,,,,,,,,
1000645,LYNDEN DUTCH BAKERY,421 FRONT ST,LYNDEN,WA,98264-1920,USA,,,,,,,,,
1000646,SNOQUALMIE GOURMET I,21106 86TH AVE SE,SNOHOMISH,WA,98296-7904,USA,,,,,,,,,
1000647,TORTILLERIA Y RESTAU,5441 SOUTH TACOMA WAY,TACOMA,WA,98409-4312,USA,,,,,,,,,
1000649,HANCOCK'S BAKERY,16150 NE 85TH ST,REDMOND,WA,98052-3540,USA,,,,,,,,,
1000651,ROADRUNNER PIZZA,18200 OATFIELD RD,GLADSTONE,OR,97027-1666,USA,,,,,,,,,
1000654,CHERISHED MOMENTS IN,1980 NE SPRINGER CT,MC MINNVILLE,OR,97128-9095,USA,,,,,,,,,
1000655,JULIA'S BAKERY & CAF,7209 MARTIN WAY E,OLYMPIA,WA,98516-5534,USA,,,,,,,,,
1000656,EMILIO'S BAKERY,3905 STATE ST,SALEM,OR,97301-5323,USA,,,,,,,,,
1000658,LA VICTORIA - MT VER,1610 N LAVENTURE RD,MOUNT VERNON,WA,98273-2770,USA,,,,,,,,,
1000661,DADN'S CAKES LLC,1444 SW 320TH PL,FEDERAL WAY,WA,98023-5534,USA,,,,,,,,,
1000663,MARILYN FISK,2904 SE 62ND AVE,PORTLAND,OR,97206-2040,USA,,,,,,,,,
1000664,PASSPORT FOOD GROUP,2539 E PHILADELPHIA ST,ONTARIO,CA,91761-7774,USA,,,,,,,,,
1000665,BANKRUPTCY 11 DYNAMI,1001 E 33RD ST,LUBBOCK,TX,79404-1816,USA,,,,,,,,,
1000670,JEAN'S POSH PANTRY I,12625 STOWE DR,POWAY,CA,92064-6853,USA,,,,,,,,,
1000672,DCP COMPANY,3501 INDUSTRY DR E,FIFE,WA,98424-1834,USA,,,,,,,,,
1000685,BANKRUPTCY 11 M C WH,170 E RINCON ST,CORONA,CA,92879-1327,USA,,,,,,,,,
1000689,GOLDEN BAKE FOOD PRO,30754 SAN ANTONIO ST,HAYWARD,CA,94544-7106,USA,,,,,,,,,
1000693,KING DONUTS,1695 STATE ST,SALEM,OR,97301-4258,USA,,,,,,,,,
1000694,SALVADORIAN BAKERY I,1719 SW ROXBURY ST,SEATTLE,WA,98106-2737,USA,,,,,,,,,
1000695,AURORA DONUTS,13201 AURORA AVE N,SEATTLE,WA,98133-7586,USA,,,,,,,,,
1000698,WATANABE BAKERY & CA,15321 MAIN ST NE,DUVALL,WA,98019-8574,USA,,,,,,,,,
1000703,BAKER BOYS NW LLC,3812 S WRIGHT AVE,TACOMA,WA,98409-3142,USA,,,,,,,,,
1000704,SIMPLY DONUTS,1009 S BERTELSEN RD,EUGENE,OR,97402-5427,USA,,,,,,,,,
